entity_id,provider_name,google_primary_category,current_leaf_slug,proposed_leaf,proposer,bucket,cause,twin_of,dept_hint
21c6f9cf-4463-4aab-a78c-98f891586366,Back Nine Golf,,outdoors-parks-trails,,,A,b,,outdoors-parks-trails
6c0039d3-23a3-4406-b160-bcc430c2b232,Bridgewater Links,,outdoors-parks-trails,,,A,b,,outdoors-parks-trails
52101464-e306-44c4-a849-83f4b1d82c71,In the Pocket Billiard,,things-to-do-and-attractions,,,A,b,,
7646c641-0bde-4974-a662-e160b06e8332,Iron Wolf Top Tracer Range,,outdoors-parks-trails,,,A,b,,outdoors-parks-trails
5644bd16-8a6b-40b2-b432-b0ada6866707,Islander Pizzeria,,eat-drink,,,A,b,,eat-drink
d57e9351-bde8-4215-a424-6684270bab01,Lady Lee's,,eat-drink,,,A,b,,eat-drink
b59f57c0-af37-479c-9a9f-7e176666d70a,Lady Lee's Billiards Hall,,things-to-do-and-attractions,,,A,b,,
86a19ca5-3186-4625-bf2b-7d4192fed068,Lake Havasu City BMX,,classes-sports-recreation,,,A,b,,
e31e66d4-dea3-4247-8150-6c33631b59eb,Mike Delaney Pickleball Complex at Dick Samp Park,,classes-sports-recreation,,,A,b,,classes-sports-recreation
4973e593-a631-4f81-ab42-8d43a6566f7c,Nick Young Outdoors,,on-the-water,,,A,b,,on-the-water
4a66e7d8-7edd-4f3a-a262-0317d2ae6ce5,Parker Garage Doors & More,,,,,B,a,,
1cca9abb-4eba-4ee1-bb43-ccdad1403e67,Bill Williams River National Wildlife Refuge,,parks-and-playgrounds,,,B,d,,
e1b9475e-06f1-4096-8fdc-c6569c850042,BlueWater Resort & Casino,,casinos-and-gaming,,,B,d,,
0450c3d8-af2a-4877-905b-9d25edb143f7,Cerbat Cliffs Golf Course,,golf-courses,,,B,d,,
dc675624-ccab-4a7e-8a62-10634aa940a3,Chaparral Golf Course,,golf-courses,,,B,d,,
e5564cda-0022-4c57-b370-dbc46966e4c6,Desert Bar,,parks-and-playgrounds,,,B,d,,
fc367380-e688-439b-84e4-e2e28945b5c8,Desert Diamond Distillery Factory Tour,,tours-and-sightseeing,,,B,d,,
b244e77f-6e5a-4f59-ac66-44d1b8e1c5e3,El Rio Golf Club,,golf-courses,,,B,d,,
d2d2bf8e-cc62-498f-865b-b8c5fa391d55,Emerald Canyon Golf Course,,golf-courses,,,B,d,,
01230c71-ed02-430f-b5d3-5942836f6bff,Grand Canyon Caverns,,landmarks-and-sights,,,B,d,,
8c769188-1d26-4769-bc4d-1b85b25b08e4,Grand Canyon West,,landmarks-and-sights,,,B,d,,
e0eb1ad8-cac0-49e9-96af-d284c213f900,Hualapai Mountains,,hiking-trails,,,B,d,,
47a01ab7-d655-4197-8ce9-7588d3572b87,Huukan Golf Club,,golf-courses,,,B,d,,
8e65f8c7-d54e-4788-a5c8-a3f20d8999b1,Keepers of the Wild,,landmarks-and-sights,,,B,d,,
55884dc4-b76f-4bdf-8044-5e36785b72ff,Laughlin Ranch Golf Club,,golf-courses,,,B,d,,
ba6451d6-870d-4629-b68d-6f0a3e13a4bc,Los Lagos Golf Club,,golf-courses,,,B,d,,
7589f46b-bb29-4be6-895b-c5dd20192dbb,Mojave Resort Golf Club,,golf-courses,,,B,d,,
f8bff155-4777-4890-9b75-0ed2d0012333,Oatman,,landmarks-and-sights,,,B,d,,
e2f58802-c4bf-4150-895a-7b00ab0e4f0a,River's Edge Golf Course,,golf-courses,,,B,d,,
82fcc6c9-9edd-4140-ad96-97ec46558042,Route 66 Museum | Powerhouse Visitor Center,,museums-and-galleries,,,B,d,,
86689542-cea3-4d35-b9f1-cf88023ad98c,Stetson Winery & Event Center,,bars-and-breweries,,,B,d,,
6ede1d77-59f5-4ad1-8114-b9b92e3f2756,Topock 66 Restaurant,,restaurants,,,B,d,,
3ea84bcc-8ee2-494a-8dd7-4aaf8cd5140a,Affordable Plumbing and Appliance Service,,,,,C,a,Affordable Plumbing & Appliance Service LLC,
dfe07697-e4e0-41dc-ab68-b3d6369789ee,Captain Bob's Boat Adventures,,,,,C,a,Captain Bob's Boat Adventures,
124071a9-8fc0-48c2-8c2e-71a47987b7bf,Clean Concepts,,,,,C,a,Clean Concepts Inc.,
affd55bb-aa2c-4fe3-8625-f3afe8db582c,Cypress Park,,,,,C,a,Cypress Park,
c0d20309-1831-4e3e-ac0a-a996798e04d3,Gibbs Propeller Service,,,,,C,a,Gibbs Propeller Services,
57cf4500-2752-4128-bf2b-a918fca0669f,Havasu Hearing Aids,,,,,C,a,"Havasu Hearing Aids, LLC",
ebb66e47-67d1-4e80-af65-415f18972227,"Lake Havasu Property Management, LLC",,,,,C,a,Lake Havasu Property Management,
673b79c8-4467-42bd-bd2d-2d6ac3b8c3c7,Niko's Grill & Pub,bar_and_grill,,,,C,a,Niko's Grill and Pub,
4d7713f1-d48f-49c8-983a-ff1eec5c4a75,Optima Medical (Central Lake Havasu),,,,,C,a,Optima Medical - Central Lake Havasu City,
4685ceb5-c8ac-4810-ba0c-6cb009d33030,Total Marine Pros and Powersports,,,,,C,a,Total Marine Pros and Powersports,
21af462d-cbff-4c38-a7e2-fa0293e924d0,Golf n' Brews,,outdoors-parks-trails,,,C,b,Golf N’ Brews,
db0189de-7fca-4943-9326-e33635ed04ef,Havasu Island Golf Course,,outdoors-parks-trails,,,C,b,Havasu Island Golf Course,
20afefe8-b2da-4f05-a1a9-85f2c6089ea8,Iron Wolf Golf & Country Club,,outdoors-parks-trails,,,C,b,Iron Wolf Golf & Country Club,
882fd003-9e7e-43df-bb4a-330b53131ef8,Lake Havasu Golf Club,,outdoors-parks-trails,,,C,b,Lake Havasu Golf Club,
bc7f2cc4-5952-48ec-a1fc-60d6a142cb41,Lake Havasu Water Park,,classes-sports-recreation,,,C,b,Lake Havasu State Park,
e2eef582-bd17-4096-993b-d18056d6b2f0,Mr. Lucky's Billiards & Pub,,things-to-do-and-attractions,,,C,b,Mr. Lucky's Billiards & Pub,
351f8a5c-93c0-4bcc-9a9b-903cff14251c,SummeRay Wine Bar & Local Eatery,,eat-drink,,,C,b,SummeRay Wine Bar & Local Eatery,
